user_id," ""artistname"""," ""trackname"""," ""playlistname"""
5c2b840d66d02ac7aa6a069eddd17f48,Spice Girls,Wannabe - Radio Edit,Lol HiGh Sk00l MeMorIeZ
6da651f45aac18e5da52433aa3c38947,Flying Lotus,Descent Into Madness (feat. Thundercat),Best of 2014
20350023c94899ce25cd1a86ea385853,Kristin Hersh,Your Ghost,Ladies. All the ladies.
f9809d1afbab1b0aaa0c2f678a90752a,Rotary Connection,This Town,To listen to
db9646b77f3a677040b9140489da16f1,Bastille,Pompeii,Starred
7ee6797934d627b54a72dda785b1ea85,Dinosaur Jr.,Keep the Glove,iTunes
5c4438bac13e50d6db5058ad0b0983da,Joni Mitchell,Night Ride Home,Joni Mitchell – Court And Spark
705e46c3ff12a665e14ab67c497f18ac,Skillet,Sick Of It,Favorites
ec4faa478b43b87aa990f5f2b7d0f414,Nine Inch Nails,Discipline,Devo's Hits
500e8b67136775d227d35a1bb37478aa,AWOLNATION,All I Need,SALVAGED
d993ff8f2de226e2c6803e47a22e9d7e,M. S. Subbulakshmi,Marali Marali Jaya,M S Subbulakshmi
d087387cd3a21a7df6148facf7e6de3b,Earl Sweatshirt,Sunday,Earl Sweatshirt – Doris
4d3478132c2411da4f59caa8d05f9020,Queens Of The Stone Age,Broken Box,Ashhh
a1636d750f67c7e6754165a2f7856860,Since October,Mend All The Pieces,Getting Better
39bd5bffec13caec0918b1477ab70614,Depeche Mode,Blasphemous Rumours - Remastered,Eclectic Ecstasy
a51bf8359b92019872ae25be2edcfe5f,Linkin Park,VICTIMIZED - M. Shinoda Remix,Linkin Park — RECHARGED
822626a6f453a5ed2eeb0d1b6686b714,Scar Symmetry,Morphogenesis,Starred
92decd9488a6d8f7feb6117f6cb8a17a,Fuel Fandango,Trece Lunas,2013
05d9f2d60012d07349cb41690d29bba6,Disasterpeace,Death,Fez
9f73a2dece773a105003273316cff35d,Blur,Song 2,Upbeat Workout
4398de6902abde3351347b048fcdc287,Money For Rope,Ten Times,Library & Streams (Part 10)
41a882966229719963b528a6f34e5c56,Chlöe Howl,Paper Heart,2014
ea0e4bd5eb86a066c6ff6a275c253704,Mark Knight,The Return Of Wolfy,Various Artists — Ibiza Residence 2014
490df4a34d7b1e0c7b82e68b66d23814,Base Ball Bear,Perfect Blue,"Base Ball Bear — Natsu No Show Window Base Ball Bear Summer Collection2013"""""
00ba6890ed516e47967114c2f75bbe35,16Volt,Keep Sleeping,Starred (Old)
e6f92f64f6bc13be7d4353a0135429f9,Crystal Castles,Plague,Megalist
c027b267ac4ae0fd1490890b838c4235,Faithless,One Step Too Far - Radio Edit,Dido - Greatest Hits (Deluxe)
dd989ee07bd90c22cfcddbd35e446d7f,Burl Ives,A Holly Jolly Christmas,Christmas 
04bfc6d99a244c7df3bce93cc6e23c3d,The Hives,Walk Idiot Walk,zubrowkasetti
9ccb672668dd60a1a8eb72303476687e,David Byrne & St. Vincent,The Forest Awakes,Tomorrow
3d70271aad91068c4a577d426e2aa19e,Andrew Bird,Why,Ricks Randomness
c8d8a7b5590bf08bb351757686304152,Kool & The Gang,Cherish - Single Version,True Power-Ballads / 3CD set
08280e52f83cce4aa0f4ba12ac09d01b,The Smiths,Back To The Old House - John Peel session 9/14/83,Francis's Playlist
00ad223995792793c9ee902cd545ef7b,Youth Lagoon,Posters,Starred
c67f3a551b435a04fadfe46fbda1c3a5,"Choir of King's College, Cambridge/English Chamber Orchestra/José-Luis Garcia/Peter Barley/Stephen Cleobury","In Paradisum (Requiem Op. 48; 1893 version, ed. John Rutter)",VARIOS CD
9f91e8dc7f5543ba408e437fe4ede243,Bongwater,You Don't Love Me Yet,Burning Daydream 80s
144ced6d2b5322c74e4a2efa9ea5e69b,The Mowgli's,San Francisco,mowglis
1f279c39d9bb0a4c5b7a0653b44a8017,Clap Your Hands Say Yeah,Idiot,Starred
5b82c20e6b45a79c382e80e96e04b956,The Bravery,An Honest Mistake,MVP 2005
141970246646c7a0a6af2e1f6e834233,Radiohead,2 + 2 = 5,Starred
9d90242856d051f07229bd60b0b7976c,Mat Kearney,Undeniable,#christian
0a94d0cf8631c721c2c0c9b91fcd146e,S Club 7,Don't Stop Movin',My jams
7f5e926e114fbb96e362a5ee581d6711,Elevation Worship,Give Me Faith - Bonus Track,Christian Select
fd16fd12aab79c33ffd1944d6b2b9af8,Stupeflip,Mon style en Crr,stupeflip
c1c5244249d8d54099d75cda6e6c8a82,Clinton Sparks,Favorite DJ,Entourage
64c4686c595c76e0ff98743f1fab7439,Weird Dreams,Holding Nails,Millor Música 2012 - iCat.cat
d4a8fae3f036847c9c6c76c49353a5e2,Bravo Fisher!,Maletas al Agua,Discos 2013.
4398de6902abde3351347b048fcdc287,The Phantom Band,Women of Ghent,Library & Streams (Part 22)
52d9c19d9a0f09254af29449582346cf,Train,Respect,Jessica Simpson - Songs From Dawson's Creek - Vol. II
1661294fb3c7673c74c6eacd93d2d254,Dr. Dre,The Next Episode,Dr. Dre – 2001
a501fe502f198f5b7eb6dca7ca56e263,Our Lady Peace,Life,Napster4Life
c8544d489081fe1808e86e6b473af7f6,Snow Patrol,Ways & Means,baby it's cold outside
d31e1b351444f70c824b09b11a60cb2b,Stevie Wonder,You Haven't Done Nothin',Stevie Wonder
4398de6902abde3351347b048fcdc287,Black Books,Something to Remember,Library & Streams (Part 17)
6fd176f6013b568a6e80937758568be0,Holy Fuck,Red Lights,Fantastic!
c6f66e34ea577db34f09caeecf79a52f,Trophy Scars,Cats As a Measurement of Time (demo),Trophy Scars
ab3a4083733fa38ecb4880dad227e169,Future Islands,Like the Moon,Albums 2014
4cb427d6b13060a3647fa4a58d4c40c5,Ian van Dahl,I Can't Let you Go,Partay 1000
22cbc78b8a5bd2b1d627fcded3629aeb,Kid Cudi,Pursuit Of Happiness (nightmare),Everybody Knows That I'm #1 Cuz I'm Rappin'
5d5e2764ce815ae76a356e4c86fac37a,The Cars,Good Times Roll,Old Fart
89d1e8e2726688f93cd6eedc9e59b2e5,Ed Sheeran,Runaway,Ed Sheeran – x (Deluxe Edition)
d08b4c5a54e4a8decd6bc0cf63ffbb20,The xx,Angels,Starred
383e2887b4e09bd7871ec3f312ec3a27,Jedi Mind Tricks,The Age of Sacred Terror,Jedi mind tricks
abef734aa30a8dce0cc2702d5d6d66b1,Frankie Valli,Can't Take My Eyes Off You,Oldies
1039e5bfd726bb324ce7f5ea2d0d6fc4,MGMT,Pieces of What,Albums 1
dc8d9b394c537c075d87fb2ef0952c76,David Fonseca,This Raging Light,Relax time
2f0ccde09ea9affffa0f16637e5bff25,Metallica,Wasting My Hate,Favorite musics
014e695cc6df96011b90a5beb3206012,Soundgarden,Black Hole Sun,90s nostalgia
82342ad0cca4cfe3830296c781005a9c,Have A Nice Life,Burial Society,Monday
7e43b1d401cb02b4c63bea9c48650c09,Breaking Benjamin,Anthem Of The Angels,Softerock
efa28967423f78fa2678fa4d3a606e01,Sergei Prokofiev,"Romeo And Juliet: Suite No. 2 From The Ballet, Op. 64-Ter: Montague & Capulet",Yevgeni Mravinsky – Prokofiev & Tchaikovsky
9c9f0e37d4f0a9144bb3978f4be0a31e,Billie Holiday,I Don't Know If I'm Coming or Going,Billie Holiday – Who Loves You
8ed1f4adbbe1f81829b0a78f4f92d394,Jill Scott,Gettin' In the Way,Harold's R&B 2
ea4e429f3b0f04b811ecc3c9df4bbb05,Ryan Adams,La Cienega Just Smiled,Starred
4ca73e53b015472cefa7dcc62d9e1d62,Hassan Abou Seoud,Shik Shak Shok,KCRW Music Mine Playlist 8/6/13
fa849dabeb14a2800ad5130907fc5018,Rancid,Arrested In Shanghai,multiple personality playlist 
2ed69b4767bac3cb0328b67bed923b8f,The Who,I Can't Explain - Live At Leeds 25th Anniversary Edition Version,The Who – Live At Leeds (25th Anniversary Edition)
5618950d072b4e362a864f2706537531,Nas,My Country,HipHop
8a673e7887a8e8fe2fc4f605458ce316,Dash Berlin,Like Spinning Plates [Mix Cut] - Alexander Popov Remix,Armin Van Buuren – A State Of Trance Year Mix 2012 (Mixed By Armin van Buuren)
2fa1f93e57cfe2f6c4456e98da54061c,Terrorizer,Condemned System,aaplist - grindcore
e21d18153e4e01fb9d04a06c558a9036,Los Desiguales,Como Las Locas,Los Desiguales - Los One Hundred
87771a040150ad78b3e8306648f7ff88,Florida Georgia Line,Round Here,Country
88e876f0b3449edf0bbb17af24677812,Drake,HYFR (Hell Ya Fucking Right),Take Care
d55ea4487d61942e14195986ea7ffb5c,Fatboy Slim,Ya Mama (Push The Tempo) - Moguai Remix,Starred
6b85a8076b4f3b1036ef15f09e2feeeb,El Nombre no Importa,Hotel Santiago Mix 02,Generos
1aaa6db809b4d05bb7094778b76855dd,Fleetwood Mac,What Makes You Think You're The One,Mac
fe19eb7f5d0c01a4673258705de5885d,Matt Redman,"10,000 Reasons (Bless The Lord) - Live",Goxpel
97cdc9bbc01da23111518a78825ddafa,Jason Mraz,Bella Luna,Jason Mraz
667ad46cd2ed2bbd3c7c3ce0f7153bfd,Skrillex,The Devil's Den,Starred
c943688082716a65120321b4a0b15979,Lil Wayne,Why,jamz
a293712bc8c090cf15ca073fe542805a,PSY,Gentleman,Starred
df61bbb8ce1ae672b3d16a02ca53db5c,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free - feat. Bruno Mars"
5520900e48e2dfa7830b151aadf7237a,Boston,More Than A Feeling,60s/70s/80s - My Favs
3104c6b1e88bbe8e99ca9e8bc9d66471,Pink Floyd,"Brain Damage (Live At The Empire Pool, Wembley, London 1974) [2011 - Remaster]",Loved from Last.fm
0289534669ada06c967aede0871fb279,Los Hermanos Zuleta,La Virgen del Carmen - En Vivo,Zuleta's Bro
1ff421c748a598c3e547c97648db16a2,KONGOS,Take Me Back,Favorites
f5572869d9c80a6622498a8514da43d6,Elton John,Daniel,Pandora
09ca462ea49ad13b5817a092aaffb9ed,Cali Y El Dandee,Gol,Musica de tias xd
08bf139892f243177c08c315882b6d86,Bernhoft,Cmon talk - Live,JAMS
7852a19ed03fa773aaca03478ef4e475,AC/DC,Hold Me Back,Good Stuff
7b392393c9f2aaf6f303d3d50bb3bba1,Grizzly Bear,La Duchesse Anne,2012 JUL - SEPT 2012
f0cd2f1d07171ae52e8dc6446392777c,Calvin Harris,Worst Day,Calvin Harris
ff01be1a8bfc1ccee86386b19c99edc6,Hillsong UNITED,Search My Heart,THE Playlist for LIFE
ded11ee591bd486d4222abb24a3936e8,The Chi-Lites,We Are Neighbors,The Chi-Lites – The Legend of The Chi-Lites
f2604a69836c94d00fcd11dd602944fc,PUBLIC ENEMY,raw shit - (featuring parismc,everything
d9f400e76c902d47186e8e0cbbe1cbe3,Crocodiles,I Like It in the Dark,Crocodiles – Crimes of Passion
5abf68353089ec46d721ce731b0ead84,The Prodigy,Android,Liked from Radio
38a8c736602e839c66bee4ce100e1096,Carl Perkins  ,That Don't Move Me,1950s Rockabilly
5968fe6ff4531c2efd244584f35ea94a,Karl-Birger Blomdahl,Aniara: Act II Scene 1: Vad ar det som star pa? (What is going on?) (Chefone),RARELAX
39b769177a308d2256d36b7797f7bc36,M!R!M,Homesick,à écouter
cf39f507e5fd7cba531fcf71904f032b,First Aid Kit,Blue,FITS
efa28967423f78fa2678fa4d3a606e01,Daniel Barenboim,"Bach, JS : Well-Tempered Clavier Book 2 : Fugue No.11 in F major BWV880",Bach Well-Tempered Clavier 1&2
da59dd954a89669e1d28d9d9316ddcc9,Robert Johnson,Come On In My Kitchen - SA.2585-2,"Soul, Blues Sessions"
c8b35f0de051bf96fc6ba4b42047e16b,No Doubt,Push And Shove,Starred
881699dc75bf43f73fc445b568d320bf,The Republic Tigers,Buildings & Mountains,Allt
3503ce634277293d79f2e13b30511042,New Model Army,Vagabonds,Tragedy >For Me<
f5dc28b0f6357b367e1016bfcbb6c38f,Israel Nash,Just Like Water,Top 10
99d844fc6e15c4a2bcc16bd870847856,Johnny Cash,I'm So Lonesome I Could Cry,Cash
60b25d06a640a44ad6b5e3097786bb8d,M83,When Will You Come Home?,Pitchfork Top 50 Albums of 2011 + Honorable Mentions
d993ff8f2de226e2c6803e47a22e9d7e,Gaudi,Kahin Mot Se Bhi Na Jao,Nusrat Fateh Ali Khan
626346c81949c1c532c24b938f463322,Jill Tracy,You Leave Me Cold,Diabolical Streak
8c13829fe6af09f5c7bcc492ef061c17,Pickin' On Series,Them Belly Full (But We Hungry),Starred
3abf7ff942b5b50039db88a14a7728fe,The All-American Rejects,Move Along,Starred
d3ae8ec8e62847d08a342c02b76b3fc1,Phoenix,1901,Liked from Radio
6e7a8d81efb6a06974967c9d827f794a,Disturbed,Divide,No network
ed140fce438f59e6e07e5ee7bd726692,Amor de Días,House of Flint,Radio Hannibal Top 50 Albums of 2011
6c2e97ad6b817f4cdd01ee64f98f6304,Robin Thicke,Blurred Lines,Fiestuc M city
cf860399ef76aefc8b72089441f0cc0d,Arctic Monkeys,Black Treacle,Catan
1e83ee751379a76633915ffce34e9647,Bob Marley & The Wailers,Don't Rock The Boat,Walk-In & Set-Break Music - Phish 3.0
e6f92f64f6bc13be7d4353a0135429f9,Professor Elemental,Sweet Cold Colation (feat. Miss Sadie Bell),Professor Elemental 
6dfc7c6f2b0838676f5a588bc2f2cbd1,Jon Lajoie,Show Me Your Genitals,"Terrible, but fun to listen to I spose"
eb5253cb0758b1f84fc75b37d77910e4,GZA,Cinema,Wu-Tang Forever
c1fa010cf087c5815106c9df1e2a955e,Whirlwind Heat,Air Miami,podge
22cbc78b8a5bd2b1d627fcded3629aeb,Francoise Hardy,If You Listen,Starred
1039e5bfd726bb324ce7f5ea2d0d6fc4,Lykke Li,"Dance, Dance, Dance",Albums 1
a9f844ceb4d928d7ff7c189211f301c5,David Bowie,Reality - Live,Classic Rock
01fce1a82e5dc4171372d80ac017dda9,John Williams,Betrayal at Bespin,John Williams
bd772f7c65fc85fcef36c61bfe58f8e1,Thirty Seconds To Mars,Bright Lights,nanana
be8231daf92aacb164160a797ec49d6d,Javier Solis,Sombras,Javier Solis - Greatest Hits
0960c704e9e3bf8c2e4af75cd0d43b2e,Laura Pausini,Yo canto - Mexico DF (live),"Oh sí, soy una Diva!"
1ed31a332fb451c36a93c6a9d791fb73,Novastar,Because - Radio Edit,top 2001 2011
6f4c71189b8de167f505a920e26d5a90,Fall Out Boy,"Sugar, We're Goin Down",SAUSAGEFEST 2010
56fa2123d117d78f0399090f24f57e9c,Hole,"Softer, Softest",Hole — Live Through This
c0fc24a7b81aef695c32d5701c54478c,Mamut,Noches Sin Ti,#Subterfuge25
e1c59f934461e815885fef93fe41d0f0,Alice In Chains,I Stay Away,Alice In Chains – The Essential Alice In Chains
c0efe4e704a37894150489b25eac9042,Alkaline Trio,Weak Week,Favorites 
f27746c361e6f1d58cfd53264f41b339,The Common Linnets,Give Me A Reason,Eten
c410ee930bd5f0e4893632503ec17b05,Pavement,Golden Boys/Serpentine Pad - In BBC Studio,Starred
280a16196f7488a8d4dab22b58b00e45,Blouse,They Always Fly Away,Liked from Radio
742e2b3da22682b92522aa0c90452e47,Roy Orbison,Pretty Paper,Various Artists – Rock & Roll Christmas
c0efe4e704a37894150489b25eac9042,Social Distortion,Bye Bye Baby,Bands i've seen 
5db47f69add07177910fd0c2e728d863,The Beatles,I Wanna Be Your Man,Mono remasters
280b75289c00a3b31c9a392ea96e79f8,Lightspeed Champion,Middle Of The Dark,Spotify Library
7b3908a8612d81f6e8793ee05c00c8b8,Hanson,Where's The Love,2013
6752faf971cd451d87b270621979e2d5,Various Artists - The Eagles Tribute,Hotel California (Cover Version),wt
c637591c689a705a23ab5b922748e076,Loose Ends,A Little Spice,Starred
e7360e7a05b75800d4b4226dd9cbe908,Bob Dylan,Tangled up in Blue,Liked from Radio
857f1cbf46d8ace1c29201278d2d891f,Black Sabbath,God Is Dead?,Return To Serenity
8b77e77b5699d948cb7bd415b55f94e9,Leo,El tiempo curará,NisuViajes
36b1fccdd47183d9c75d71881f3249ab,The Cure,Untitled - Live at Wembley 07/89 - remix 07/09,The Cure - Disintegration
bb7580219555c7c43a6b0f9ff9360d08,Maldita Nerea,En el Mundo Genial de las Cosas Que Dices,Maldita Nerea
5cd5cdf2da452aa8196d1b2db42f7c04,Tim Curry,Sweet Transvestite,Starred
437dbe677279b2d45e6d2e1070652885,blink-182,Every Time I Look For You,Just Deal With It
826760c48e9a8cdf47f2d22b0b4f233e,Cancer Bats,Buds,2015
289e7a48edd6e2dbe58445e1157d4d33,Justin Bieber,She Don't Like The Lights,yohannainwonderland
9fa97e5ef90bda70e47fc49968542709,Massmann vs. Ippytraxx feat. Fab,Another Day In Paradise - Bigroom Edit,Party Playlist - Updates every week!
1492005fc80d9da35c8a4a4dbdf93e7f,OK Go,You're So Damn Hot,Big play list
9bd09fc842ad4ee889b9d07f575bd3bd,Emeli Sandé,Heaven,The Most Popular Tracks 2009 - 2012 | WAH (4 Jun)
22cd1234e26a76c179ad62f6d08f7294,Nicole Scherzinger,Right There,Hiphop | Rnb
1f668ba44195f0602b6151a0f922f282,Kasey Chambers,Beautiful Mess,Little bird
4398de6902abde3351347b048fcdc287,Renegade Five,Lost Without Your Love,Library & Streams (Part 5)
7544e9a0ed4dd37320d12b43400d1fab,Astrud Gilberto,The Girl from Ipanema,Bossa Nova
a252996581b06762e3c8ffcdc9339f1d,Eric Amarillo,Om sanningen ska fram (Vill du ligga med mig?) - Clubedit Radio,Milen
b32cb4b1d2da318000898af2184da005,Eydie Gorme,Piel Canela,Starred
0722ff205f3d380ec6ae92f6e556a376,Classic Rock Heroes,Baba O' Riley,MI
b4ad774f66dec2c72df2a36aff73cadb,Coldplay,Another's Arms,Coldplay
ab3a4083733fa38ecb4880dad227e169,Lee Fields & The Expressions,Wish You Were Here,Albums 2012
28bb12393ff858509e8d89e140811728,Temples,Colours to Life,Temples
62dc432e726e3723e30bda229f57366f,Elton John,Tiny Dancer,Mother Knows Best
13f2dd39302f54f4b0a645205c65e419,Lorde,Team,Bounce it Out
3c32627a6b0075dbfa021365cd50a9d7,Apecrime,Affengang,Raf
7692f11983be4d49a89c5ff144af6253,Julien-K,Technical Difficulties,movie albums
383413342563cd4c28904f8c202bdfa7,Dave Grohl,If I Were Me,2013 - ALBUMS
10c5e83789fd968addb25e7fb7d23cf0,Drake,Under Ground Kings,Elle's Mix
dc444a63984cd869c4f1be398cbe49fd,Radiohead,2 + 2 = 5,Starred
6d34c833dbf5ff72525badd7d80032c6,B.G.,U Not My Dog,B.G. – Life After Cash Money
4263efd72196afa7aeb415ceca1d95b2,Justice,Civilization,LO MEJO DE SPOTI
343b94f250eeb5cea46b82a460c929ed,Marvin Gaye,Sexual Healing (ring_riddim),BomBist
4398de6902abde3351347b048fcdc287,Pia Fraus,Day Week or Season,Library & Streams (Part 13)
726223c2d6d6c6481ba76df2aec72a7d,DMX,A Minute For Your Son,Vibing
47815cafadf35e21da99413080ba7539,Feist,How Come You Never Go There,The Most Popular Tracks 2009 - 2012 | WAH (4 Jun)
ec6a9abc7a818b0c00788add9ec69c58,Eisley,My Lovely,Music for Work
7e466efc1b7a62fdf0876637bf8476c1,Casper,Arlen Griffey (Prelude),sd. HipHop DE 
c98234ecbd7586197e011b5663a279fb,Rammstein,AMERIKA,Rock.
19aa31b09e09e030ede9088fe61c4bfe,Airling,The Runner,New Finds
e7e1dbe3b607435881f4a61a54af87d4,M.I.A.,XXXO - SBTRKT Remix,BURN BABY BURN
0e8f0298d65de5e1dac0d54eb7c42d04,Kings Of Leon,Knocked Up,Kings Of Leon – Because Of The Times
eb6a7592a6d83f66dc502231c59cb673,Gabi Lodermeier,Total angepaßt,apparat
2121ac244dd06c77c971cf237f48c8c9,Deltron 3030,Positive Contact,"Hip Hop, Rap, R&B and Other"
93000d9cad22c61869db84fb96c8b5c9,Katie Herzig,Chase Me,RYAN
1fa8cbc1e42ef9c21b81eccfadcbb88b,Modest Mouse,Float On,pop:ish
86825f6c501825d067e11dd95263b032,The Weeknd,D.D.,Beautiful
86c5db6b197a93f7a7067fbaa91c3a6c,James Brown & The Famous Flames,I Got You (I Feel Good),Run
ab5a004f2176bbb52cff8d5d244ed4b4,Cocteau Twins,Cherry-coloured Funk,Because I Got Lost 
4398de6902abde3351347b048fcdc287,Cris Cab,She's So Fly,Starred
08bd02cf96fbeae18f6dd6ca6df214f1,I'm From Barcelona,Charlie Parker,Starred
6752faf971cd451d87b270621979e2d5,The Drifters,Save The Last Dance For Me,rsall delete
daad561f642653f9c2dc5e0588c30c01,Wild Beasts,Loop The Loop,Wild Beasts - Smother
4099d662854e9ae54634c58942caf5ac,Ambassadeurs,Trouble,Dope Chill
05169c71b56cb4ce1f712ce780a59e87,Armin van Buuren,Suddenly Summer - Original Mix,xcsus
909836b30fafbe79f19883e5b7de54cf,Ben Howard,The Wolves,Ben Howard – Every Kingdom
e806a72852ffd58072097cf2782fbc06,The Smiths,Bigmouth Strikes Again (2008 Remastered Version),inaesteiro
c86add540610c192448e67765415d3b4,Santigold,Lights Out,coachella 2012
3b91bca3fd6e9f72cbc5aa2c8f9b66ec,James Blake,Digital Lion,2013 Albums
d2b943f6ed30f9b3b06e539524058b96,Dierks Bentley,I Hold On,Skiing 
60954c4f90c5e9f65f849598f0d87ad0,Kreng,Anger,Ambient Editions
d0762faabe69576156328d6e2082f038,deadmau5,Hey Baby - Original Mix,Liked from Radio
543d13a267c4f91c511fdaf97a13f86b,Grises,Huracán Stan,Grises - Albums
1c43b609f0b4a55de35803000c86ade0,Queens Of The Stone Age,My God Is The Sun,:: Work It Out ::
76604238bf5d221de438f8c8f85174ba,Lagartija Nick,De Par En Par,Spanish indie
ab274343a5df6b4269c9d0271482ee21,Travis,Song To Self,Mama
b3c6a31ad7f4ee77f52f1504c66896f3,Coldplay,Hurts Like Heaven,Coldplay
84d3144396e1404debb8a63448edd8ca,Pegboard Nerds,Self Destruct,Starred
d7eb08b4565bdc1c15f3fb8c8cb11207,Christina Aguilera,Reflection,Disney
1727ea1dffb675a850aeb7846f79999b,Dave Matthews Band,Dive In,G's Guitars Elite
99deafd9b792af8e6a535483088faef2,Charles Mingus,Ecclusiastics,Jazz
1773462a1d0ff8909929fccf5b1ef0b7,Ben Howard,The Wolves,Starred
6bc9978836bd436a261227e5aca2cae6,Mötley Crüe,Dr. Feelgood,The Education of Alexandra - Part 2; The Metal Years
c1a6910ecac9fd5e5348326675fb6ca6,Dorian Concept,Thank You All The Time Forever,Need To Listen To
7d36a40c2152d8402d2d80b8802a2ae6,Paty Cantú,Aparador - feat. María Barracuda y Niña Dioz,Español 70/80/90/00/15
483e2b0776f7c293881212968756f394,Joe Jackson,Obvious Song,Joe Jackson
84b88014c7fd47d58c627982f6dacc25,De Vet Du,Haterz,vet du de
6654e9da2bc07766b3082038b4aa68e6,The All-American Rejects,"Swing, Swing",dami
cc83579aa6ecfa7d34e0cdd8a63cdddb,Cheers Elephant,"Doin' It, Right",Starred
0ef3b4309fc4216a00d57703dd614e29,Avicii,Hey Brother,cris
8682c03a02adb9072ca7b9cdbf232bb7,Yuppies,I Don't Know,All my current day to day shit
8f9087f6282ab8940e0a05b8d8d72cf9,Tyga,Don't Hate Tha Playa,BABYLON *
7147adaf619b431a5c6f80d020726e71,Eve feat. Gwen Stefani,Let Me Blow Your Mind,Dr_Dre-Lintegrale-3CD-2010-H5N1
d6cd01076036bdf0da1fbc8153bc7705,Bobby McFerrin,Don't Worry Be Happy,Scelto dalla radio
fc0ad64b1017f684cd39ba8d5e71199d,Jackson 5,Never Can Say Goodbye,fox 97
14bbaffa1a587ddf1b4d7ab62575d20f,Leopold Stokowski,Petrushka - Suite: 2. The Shrove-tide Fair (near evening),stokowski
6fc611e9766aaec732410b1e6212ccc5,Billy Ocean,Nights (Feel Like Gettin' Down),Various Artists – Disco 100
ceb2af4187f6e34715593feb2f707f50,Michael Giacchino,Up With End Credits,Everything iTunes
e0a70ea54d3d19aa0eb3888914b9e90f,Ricky B,Shake Fa Ya Hood,Death Beatz
98cc4b06c93620fbd7b9e33f9aa0b9b3,James Horner,Saving New York,The Amazing Spider-Man
363789606e5fb14b2892c3c0275aab24,Frank Sinatra,Come Fly With Me - Remastered ) [The Frank Sinatra Collection],Eco
